,Game,Initial,Final,Reward
11871,11249,10000.0,10369.24,197.24
11872,1551,10000.0,10006.1,-178.9
11873,1146,10000.0,10314.66,192.16
11874,62,10000.0,10142.79,111.29
11875,9640,10000.0,8225.32,-2084.18
11876,5883,10000.0,10662.5,556.5
11877,13180,10000.0,9983.2,-144.3
11878,12872,10000.0,9565.8,-766.7
11879,13105,10000.0,10349.79,335.29
11880,517,10000.0,9826.58,-659.92
11881,13835,10000.0,10372.73,289.23
11882,9995,10000.0,10184.1,69.1
11883,11796,10000.0,9986.67,-136.33
11884,11192,10000.0,9982.66,-173.34
11885,10032,10000.0,10315.84,246.34
11886,8102,10000.0,9840.3,-457.7
11887,3399,10000.0,10020.14,-241.36
11888,1613,10000.0,10782.46,578.46
11889,147,10000.0,10301.31,301.81
11890,12998,10000.0,9941.6,-377.9
11891,8695,10000.0,9976.19,-226.31
11892,12427,10000.0,10008.96,-191.04
11893,4422,10000.0,10128.14,67.64
11894,7779,10000.0,9913.95,-351.55
11895,2775,10000.0,9900.71,-379.79
11896,975,10000.0,9878.55,-356.45
11897,11713,10000.0,9620.39,-899.61
11898,9252,10000.0,9988.1,-134.9
11899,1512,10000.0,9995.31,-257.19
11900,13331,10000.0,9958.15,-308.85
11901,1923,10000.0,10308.41,175.41
11902,11522,10000.0,9934.81,-206.19
11903,10654,10000.0,10669.62,88.12
11904,1939,10000.0,9905.46,-365.04
11905,13538,10000.0,10000.0,-76.5
11906,7731,10000.0,9975.36,-202.14
11907,5172,10000.0,9822.75,-470.75
11908,1725,10000.0,9947.12,-290.38
11909,3958,10000.0,10056.3,-86.7
11910,1522,10000.0,10129.35,16.85
11911,13326,10000.0,9971.55,-211.45
11912,13302,10000.0,9916.89,-287.61
11913,3652,10000.0,9794.72,-568.78
11914,13651,10000.0,9853.5,-366.5
11915,8510,10000.0,9833.15,-467.85
11916,11483,10000.0,9731.57,-569.43
11917,13499,10000.0,9939.19,-348.81
11918,12238,10000.0,10158.2,49.2
11919,12056,10000.0,9889.13,-404.37
11920,1472,10000.0,10042.1,-165.4
11921,8074,10000.0,9896.28,-388.22
11922,4707,10000.0,9966.25,-299.25
11923,1757,10000.0,10254.66,203.16
11924,5629,10000.0,9977.5,-194.0
11925,10689,10000.0,9994.67,-167.33
11926,5927,10000.0,10006.02,-147.48
11927,10538,10000.0,9871.1,-363.9
11928,2978,10000.0,10000.0,0.0
11929,5905,10000.0,9825.75,-424.25
11930,879,10000.0,10059.5,-35.5
11931,3637,10000.0,9822.26,-471.24
11932,11892,10000.0,10322.94,177.44
11933,9868,10000.0,10000.0,0.0
11934,10760,10000.0,10146.01,-82.99
11935,3107,10000.0,10528.47,526.47
11936,13081,10000.0,10184.1,69.1
11937,10402,10000.0,10116.16,16.66
11938,8567,10000.0,9983.34,-193.66
11939,7651,10000.0,10066.0,-63.5
11940,1190,10000.0,9980.0,-298.0
11941,10505,10000.0,9970.5,-266.5
11942,10540,10000.0,9985.45,-212.55
11943,2222,10000.0,9335.02,-959.98
11944,3122,10000.0,10391.02,229.52
11945,12524,10000.0,9559.52,-1000.98
11946,11155,10000.0,9937.27,-311.73
11947,10632,10000.0,8401.16,-1899.84
11948,1505,10000.0,9873.34,-367.16
11949,2150,10000.0,9963.39,-226.11
11950,8263,10000.0,9990.13,-242.87
11951,10829,10000.0,9948.65,-342.35
11952,6125,10000.0,9950.06,-304.94
11953,9229,10000.0,10725.29,694.79
11954,13173,10000.0,10061.72,-93.28
11955,5201,10000.0,9870.9,-404.6
11956,2492,10000.0,10050.72,-155.28
11957,12462,10000.0,9894.27,-354.73
11958,11012,10000.0,9996.25,-230.75
11959,13829,10000.0,10028.0,-226.0
11960,3810,10000.0,9820.96,-672.04
11961,6488,10000.0,10024.64,-226.36
11962,11035,10000.0,10043.04,-146.46
11963,8750,10000.0,10015.46,-130.54
11964,10903,10000.0,9998.91,-157.09
11965,2428,10000.0,10144.7,-12.8
11966,6924,10000.0,14287.16,4144.66
11967,1776,10000.0,9984.79,-219.21
11968,7622,10000.0,10331.68,222.68
11969,1314,10000.0,10562.66,558.16
11970,346,10000.0,9543.58,-1210.42
11971,3783,10000.0,9961.44,-174.56
11972,6897,10000.0,10557.72,439.72
11973,12828,10000.0,9965.22,-220.78
11974,11499,10000.0,10120.56,8.56
11975,1982,10000.0,9635.84,-651.66
11976,12063,10000.0,10172.94,33.94
11977,534,10000.0,9788.99,-768.01
11978,11686,10000.0,9919.61,-371.39
11979,10698,10000.0,10155.35,16.35
11980,7462,10000.0,10306.18,163.68
11981,6166,10000.0,9466.48,-825.52
11982,3077,10000.0,9925.98,-359.02
11983,11774,10000.0,10100.9,-56.1
11984,8590,10000.0,9952.14,-338.86
11985,6884,10000.0,9529.49,-729.51
11986,7288,10000.0,9959.95,-217.55
11987,9916,10000.0,9589.4,-627.1
11988,2197,10000.0,9869.56,-388.94
11989,12067,10000.0,10045.91,-106.59
11990,5951,10000.0,10214.52,91.52
11991,6078,10000.0,10002.8,-146.2
11992,10205,10000.0,10113.2,-5.3
11993,7149,10000.0,10086.0,-36.0
11994,4657,10000.0,9993.26,-135.74
11995,4269,10000.0,10791.91,745.41
11996,4744,10000.0,9970.9,-172.1
11997,1385,10000.0,9963.06,-209.44
11998,13049,10000.0,10254.8,-22.2
11999,3386,10000.0,10038.08,-113.92
12000,12249,10000.0,9995.03,-262.97
12001,12180,10000.0,9986.1,-221.4
12002,1648,10000.0,9958.7,-332.3
12003,3166,10000.0,10141.54,-180.46
12004,11071,10000.0,9932.74,-319.26
12005,12854,10000.0,9750.99,-669.51
12006,8974,10000.0,10267.26,78.76
12007,6293,10000.0,10306.54,299.04
12008,12009,10000.0,10098.1,-25.4
12009,11745,10000.0,9980.0,-278.0
12010,1391,10000.0,10057.5,-205.5
12011,11677,10000.0,10253.64,9.64
12012,1985,10000.0,9560.8,-731.7
12013,38,10000.0,10020.14,-220.36
12014,6475,10000.0,9752.15,-518.85
12015,7948,10000.0,9584.35,-951.15
12016,8309,10000.0,10136.24,76.74
12017,13166,10000.0,10169.76,54.76
12018,4685,10000.0,10342.94,149.94
12019,13484,10000.0,7061.44,-3107.56
12020,6928,10000.0,9934.85,-320.65
12021,522,10000.0,9892.45,-379.05
12022,6454,10000.0,9977.9,-280.1
12023,1037,10000.0,10056.71,-116.79
12024,7793,10000.0,9981.72,-234.28
12025,3699,10000.0,9579.2,-718.8
12026,12878,10000.0,9806.0,-432.0
12027,11477,10000.0,10000.0,0.0
12028,3740,10000.0,9964.0,-320.0
12029,13399,10000.0,9980.0,-239.0
12030,4806,10000.0,9971.99,-190.51
12031,12441,10000.0,9941.52,-346.48
12032,7646,10000.0,9988.34,-187.16
12033,2244,10000.0,9852.91,-423.09
12034,7867,10000.0,9896.92,-387.58
12035,11649,10000.0,9424.55,-858.45
12036,692,10000.0,9926.91,-274.59
12037,10620,10000.0,10056.1,-97.4
12038,10411,10000.0,10054.41,-67.59
12039,8290,10000.0,9980.0,-149.0
12040,5420,10000.0,10025.11,-159.89
12041,10333,10000.0,10046.16,-86.34
12042,11142,10000.0,10035.72,-110.28
12043,12216,10000.0,9897.5,-370.5
12044,187,10000.0,9950.38,-200.12
12045,2088,10000.0,10275.48,123.98
